lon	lat	alt
-147.32227	23.261425	12192
-148.40381	27.669252	10668
-125.20704	33.46179	10363.2
-147.8125	25.288294	10668
-135.16643	30.259703	10363.2
-134.63167	28.185507	12192
-136.08467	33.67192	11582.4
-134.63107	28.18319	10363.2
-134.927	29.338812	9753.6
-135.1438	30.173254	9753.6
-144.55945	24.58968	10972.8
-145.02527	26.487814	11277.6
-122.86338	36.07572	10363.2
-145.68144	29.084715	10363.2
-121.593315	31.50514	10363.2
-144.5594	24.589483	10363.2
-122.14485	33.53564	9753.6
-145.02545	26.488586	10363.2
-145.02556	26.48896	10363.2
-132.29312	31.05322	12192
-132.29318	31.053465	9753.6
-132.29318	31.053465	10363.2
-132.29312	31.05322	9753.6
-122.90718	33.2868	9113.52
-142.23038	27.636936	10058.4
-142.23369	27.650103	10972.8
-142.23033	27.636705	9753.6
-142.23035	27.63675	12192
-142.23024	27.636415	9753.6
-142.22993	27.635134	10058.4
-142.23009	27.635761	10058.4
-134.51143	30.363005	9144
-128.89273	29.844921	10363.2
-128.5551	28.534153	9753.6
-130.02507	34.052124	9753.6
-128.8685	29.75398	10972.8
-129.96376	33.831318	10058.4
-139.4181	28.705141	10363.2
-139.41817	28.705366	12192
-140.19197	31.664497	10363.2
-140.167	31.571	10363.2
-140.14435	31.485266	9144
-139.41817	28.705366	9753.6
-131.11882	31.53418	9144
-149.19025	24.495647	12192
-126.53565	32.57787	9753.6
-149.20114	24.540163	10363.2
-136.58025	29.659466	10363.2
-136.5798	29.657646	11582.4
-137.42342	32.829292	9753.6
-136.57668	29.64541	10058.4
-136.58945	29.695229	10363.2
-136.58974	29.69629	10058.4
-122.82688	30.234816	10363.2
-145.43504	21.683506	10363.2
-145.98499	23.994614	11887.2
-145.98557	23.996994	10363.2
-146.44444	25.880472	10058.4
-132.35315	25.113073	10363.2
-156.03941	20.765694	11277.6
-123.08939	31.230242	10363.2
-145.97885	23.968994	10668
-133.73071	30.557274	10363.2
-133.22873	28.621391	10058.4
-133.73125	30.55921	12192
-133.22871	28.621397	10363.2
-133.73123	30.559196	9753.6
-143.17923	25.143326	10363.2
-143.1794	25.144056	12496.8
-143.18082	25.149876	11582.4
-120.677444	33.707138	9387.84
-143.65323	27.060701	11277.6
-120.36961	32.585293	10637.52
-143.17929	25.143631	10972.8
-143.65324	27.060747	10363.2
-136.82819	27.448341	9144
-130.87323	31.413973	10668
-153.41914	22.737324	10668
-130.35521	29.44133	10363.2
-130.8705	31.403639	9144
-121.2968	33.632793	7772.4
-148.23213	25.08172	9753.6
-140.36131	26.225643	10363.2
-140.8494	28.173838	11887.2
-140.36504	26.240786	11582.4
-140.84943	28.173893	10363.2
-140.36122	26.225231	10363.2
-140.84938	28.173702	9144
-132.8668	30.850796	9753.6
-128.24455	33.099384	10363.2
-138.83128	32.24748	9144
-138.02237	29.180166	12192
-138.83128	32.24748	10668
-138.02763	29.200483	10668
-138.02249	29.180664	10668
-138.02773	29.200825	9144
-125.11206	32.92455	10363.2
-147.84352	25.201267	10363.2
-125.111824	32.923668	10058.4
-147.84244	25.196808	10058.4
-147.84964	25.226435	9753.6
-135.19205	30.159395	12192
-135.19205	30.159395	10972.8
-135.82613	32.539566	10058.4
-135.90405	32.825832	10058.4
-135.19205	30.159395	10363.2
-135.19206	30.159391	9144
-126.2175	32.63714	9144
-153.46355	22.658184	9753.6
-145.73685	29.10249	10972.8
-144.60556	24.57152	10363.2
-145.74628	29.139372	10972.8
-144.60542	24.570965	9753.6
-137.93721	29.23254	9144
-133.16039	34.06436	11277.6
-132.33844	31.04026	10363.2
-154.87172	22.265457	10363.2
-131.81633	29.039795	10363.2
-122.91807	33.421486	9052.56
-149.99449	24.262188	9753.6
-142.27359	27.619522	10363.2
-142.2735	27.61919	11277.6
-142.27351	27.619238	11582.4
-142.27704	27.633224	10363.2
-141.79474	25.69616	10363.2
-134.48184	30.653732	9144
-134.5588	30.360844	9144
-129.46782	31.845556	11277.6
-152.01624	23.232687	11277.6
-128.93694	29.836374	9753.6
-151.60597	21.50024	10972.8
-129.46796	31.842178	9753.6
-126.575775	32.56453	10058.4
-149.25298	24.574158	10058.4
-126.575264	32.56264	10363.2
